Nose_x,Nose_y,Nose_c,LEye_x,LEye_y,LEye_c,REye_x,REye_y,REye_c,LEar_x,LEar_y,LEar_c,REar_x,REar_y,REar_c,LShoulder_x,LShoulder_y,LShoulder_c,RShoulder_x,RShoulder_y,RShoulder_c,LElbow_x,LElbow_y,LElbow_c,RElbow_x,RElbow_y,RElbow_c,LWrist_x,LWrist_y,LWrist_c,RWrist_x,RWrist_y,RWrist_c,LHip_x,LHip_y,LHip_c,RHip_x,RHip_y,RHip_c,LKnee_x,LKnee_y,LKnee_c,RKnee_x,RKnee_y,RKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,RAnkle_x,RAnkle_y,RAnkle_c
348.944,43.5549,0.959176,350.223,34.441,0.720103,338.51,35.6873,0.93061,0.0,0.0,0.0,307.185,39.6584,0.92826,328.097,81.4069,0.253472,326.796,93.1477,0.59352,384.225,70.9703,0.267548,408.998,78.8734,0.831482,0.0,0.0,0.0,426.001,16.1922,0.840791,360.752,235.416,0.516915,329.389,239.342,0.505666,384.218,337.242,0.65852,316.313,330.703,0.632436,371.117,422.093,0.734287,257.658,422.043,0.671705
359.395,38.3679,0.925438,359.455,29.2249,0.422526,348.937,27.9151,0.909398,0.0,0.0,0.0,316.321,35.7119,0.920019,311.144,86.6003,0.314716,334.635,87.9149,0.607023,0.0,0.0,0.0,411.58,59.2463,0.82715,0.0,0.0,0.0,406.412,3.7206,0.613657,364.655,235.45,0.502704,333.314,240.651,0.488607,381.581,337.219,0.713518,320.272,329.43,0.652643,369.877,423.411,0.750792,254.96,420.781,0.693621
364.637,34.3959,0.901349,368.51,25.2601,0.336171,355.521,25.2349,0.861143,0.0,0.0,0.0,322.878,30.4979,0.847485,348.975,77.5409,0.454286,322.9,84.0469,0.589291,403.796,47.5316,0.11342,410.343,47.4371,0.825584,0.0,0.0,0.0,390.742,3.73266,0.186552,368.542,234.126,0.534467,337.234,235.425,0.496611,380.267,333.326,0.677742,322.899,328.135,0.645115,369.831,423.386,0.743776,247.201,419.434,0.675406
371.213,29.2201,0.909751,0.0,0.0,0.0,362.064,20.0561,0.848633,0.0,0.0,0.0,329.404,26.5951,0.949519,354.197,74.8841,0.467065,329.381,87.9052,0.663376,406.418,38.3833,0.505521,410.308,37.0733,0.420525,0.0,0.0,0.0,0.0,0.0,0.0,368.528,235.464,0.524748,339.888,236.72,0.502098,379.013,337.235,0.709864,324.196,328.136,0.644877,369.858,423.404,0.729738,245.904,414.237,0.675775
375.084,27.9089,0.880455,0.0,0.0,0.0,368.542,17.4685,0.830101,0.0,0.0,0.0,337.186,25.2616,0.8837,359.401,73.5635,0.370892,334.639,77.5326,0.51402,402.487,35.7311,0.173342,408.985,35.7037,0.684216,0.0,0.0,0.0,381.634,25.2809,0.140653,368.564,235.436,0.519346,342.451,235.417,0.488611,377.687,335.937,0.676047,325.493,328.059,0.649578,369.878,423.407,0.729166,244.584,412.946,0.6937
379.018,26.6647,0.86612,0.0,0.0,0.0,371.171,17.4592,0.863551,0.0,0.0,0.0,339.803,23.9478,0.922095,329.405,74.8718,0.217471,339.857,77.5412,0.405373,0.0,0.0,0.0,410.287,35.6675,0.673645,0.0,0.0,0.0,381.677,26.6709,0.216304,369.815,234.139,0.510124,341.18,232.828,0.46967,377.685,335.911,0.670398,328.059,328.066,0.681388,369.872,423.373,0.737608,244.572,412.961,0.663096
380.349,27.8839,0.862768,0.0,0.0,0.0,372.518,17.4813,0.850432,0.0,0.0,0.0,341.193,23.9619,0.891563,324.204,76.2129,0.327568,354.206,68.3671,0.399081,0.0,0.0,0.0,411.605,37.0005,0.78629,0.0,0.0,0.0,384.232,26.6789,0.196305,369.827,232.82,0.479959,345.057,230.222,0.454006,377.671,329.425,0.665661,328.114,328.073,0.661658,369.88,423.377,0.725539,244.554,418.175,0.63232
381.587,29.1875,0.828888,0.0,0.0,0.0,375.074,17.4828,0.821341,0.0,0.0,0.0,345.067,21.3572,0.84282,317.678,80.1361,0.618092,364.64,64.4432,0.614117,0.0,0.0,0.0,412.917,39.6684,0.791386,0.0,0.0,0.0,384.224,29.2463,0.172127,362.046,226.292,0.381286,350.271,226.313,0.450589,376.404,328.136,0.649223,329.449,328.094,0.646495,369.888,423.397,0.713229,244.569,420.773,0.656094
381.653,27.8953,0.79598,0.0,0.0,0.0,376.369,17.4572,0.810915,0.0,0.0,0.0,347.625,20.071,0.865791,317.65,81.4254,0.640403,368.56,60.5232,0.686296,0.0,0.0,0.0,414.264,46.2334,0.852391,0.0,0.0,0.0,381.651,33.1601,0.263171,364.646,226.313,0.386068,350.27,227.602,0.456753,377.675,329.392,0.648321,332.036,328.136,0.62886,369.884,423.38,0.717333,245.84,419.466,0.648106
381.668,26.6193,0.795545,0.0,0.0,0.0,376.378,16.205,0.84267,0.0,0.0,0.0,347.638,20.0818,0.872974,317.612,81.4133,0.677433,368.544,59.278,0.696355,0.0,0.0,0.0,414.269,48.8324,0.800285,0.0,0.0,0.0,381.578,34.4634,0.346111,367.247,231.499,0.378049,350.278,232.802,0.47213,378.983,330.728,0.647002,334.632,329.447,0.624197,369.887,423.337,0.721858,245.918,419.47,0.625843
