Nose_x,Nose_y,Nose_c,LEye_x,LEye_y,LEye_c,REye_x,REye_y,REye_c,LEar_x,LEar_y,LEar_c,REar_x,REar_y,REar_c,LShoulder_x,LShoulder_y,LShoulder_c,RShoulder_x,RShoulder_y,RShoulder_c,LElbow_x,LElbow_y,LElbow_c,RElbow_x,RElbow_y,RElbow_c,LWrist_x,LWrist_y,LWrist_c,RWrist_x,RWrist_y,RWrist_c,LHip_x,LHip_y,LHip_c,RHip_x,RHip_y,RHip_c,LKnee_x,LKnee_y,LKnee_c,RKnee_x,RKnee_y,RKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,RAnkle_x,RAnkle_y,RAnkle_c
312.063,45.2562,0.916749,326.111,35.8647,0.863579,309.494,33.588,0.88557,335.597,47.6082,0.912054,293.182,45.3181,0.896557,354.479,104.441,0.878852,274.29,104.35,0.939001,352.139,161.009,0.858602,276.607,161.056,0.867734,340.257,212.783,0.826269,309.524,210.505,0.877664,337.951,234.186,0.78338,290.592,234.172,0.806099,342.623,330.752,0.861957,276.558,328.569,0.894499,345.029,415.759,0.798685,274.142,411.06,0.883733
312.06,45.247,0.917119,326.109,35.8531,0.863119,309.496,33.5789,0.889583,335.6,47.5988,0.911158,293.188,45.3154,0.893034,354.475,104.411,0.888965,274.282,104.367,0.9378,352.163,160.995,0.857511,276.615,161.067,0.861211,340.26,212.803,0.828715,309.55,210.49,0.879699,340.258,236.415,0.782965,290.592,236.39,0.807434,342.637,330.823,0.857595,276.551,330.768,0.898761,345.038,415.799,0.79294,274.12,411.074,0.880378
312.064,45.252,0.917105,326.12,35.863,0.864018,309.498,33.5877,0.890222,335.61,47.6134,0.915104,293.189,45.3234,0.899391,354.476,104.426,0.886586,274.28,104.368,0.936292,352.157,161.0,0.859591,276.64,161.088,0.856621,340.291,212.802,0.835567,309.564,210.498,0.886955,337.972,234.167,0.782592,290.597,234.141,0.808638,342.639,328.572,0.866656,276.581,328.555,0.892277,345.028,415.767,0.800826,274.14,411.058,0.8868
312.091,45.2566,0.915521,326.148,35.8621,0.870469,309.521,33.595,0.895356,335.611,47.5983,0.908204,293.194,45.3318,0.919707,354.487,104.406,0.893007,274.27,104.388,0.937755,352.156,160.99,0.861403,276.643,161.082,0.855327,340.285,212.792,0.830102,309.563,210.499,0.89008,337.975,236.416,0.784648,290.586,236.43,0.801648,342.659,330.803,0.8631,276.564,330.799,0.895653,345.03,415.762,0.792425,274.124,411.108,0.875923
312.094,45.2615,0.916923,326.149,35.8621,0.872876,309.524,35.8575,0.897756,335.62,47.5897,0.918271,293.204,45.3385,0.917925,354.503,104.394,0.891269,274.288,104.373,0.932795,352.169,161.006,0.862573,276.631,161.061,0.865549,342.574,212.811,0.841248,309.568,210.471,0.88347,340.282,236.383,0.788034,290.618,234.174,0.80974,342.619,330.765,0.861977,276.571,328.545,0.893984,345.014,415.749,0.792683,274.14,411.043,0.87711
312.108,45.2564,0.914316,326.157,33.598,0.876536,309.538,35.8608,0.900865,337.882,45.4274,0.914015,293.223,45.3459,0.912934,354.499,104.396,0.889548,274.294,104.385,0.93067,352.172,160.984,0.863144,276.637,161.057,0.865477,342.604,212.788,0.844401,309.554,210.462,0.884758,340.257,236.397,0.783225,290.619,236.392,0.806515,342.674,330.826,0.859185,276.58,330.809,0.893112,345.041,415.814,0.785603,274.14,411.096,0.875791
312.114,45.2482,0.911496,328.348,35.8501,0.879199,309.544,35.8508,0.901997,337.914,47.5892,0.919258,293.227,45.3594,0.905117,354.479,104.391,0.89386,274.29,104.392,0.927968,354.402,160.947,0.871563,276.635,161.044,0.872222,342.625,212.765,0.839074,309.566,210.456,0.880286,340.253,236.383,0.787016,290.625,236.381,0.810983,342.653,330.808,0.85964,276.56,330.748,0.894706,345.016,415.798,0.792779,274.125,411.11,0.876111
314.284,45.2556,0.91259,328.353,35.8549,0.884637,309.555,35.8626,0.905018,337.907,45.4421,0.914598,293.232,45.3623,0.914835,354.453,104.373,0.900798,274.275,104.399,0.932094,352.175,160.959,0.873799,276.657,161.067,0.864524,342.639,210.538,0.844039,309.574,210.467,0.881313,337.969,236.421,0.785424,290.602,236.434,0.803869,342.654,330.828,0.859144,276.585,330.773,0.894238,345.017,415.805,0.793501,274.136,411.089,0.874912
314.28,45.2481,0.913471,328.353,33.5981,0.885857,309.554,35.8528,0.905972,337.904,47.5815,0.908802,293.232,45.368,0.90712,354.476,104.383,0.896362,274.276,104.408,0.931565,352.183,160.941,0.872485,276.66,161.059,0.865,342.64,210.536,0.845193,309.57,210.468,0.883007,340.253,236.439,0.7857,290.619,236.454,0.807212,342.678,330.849,0.85696,276.614,330.794,0.887662,345.018,415.778,0.786876,274.147,411.04,0.875379
314.299,45.2472,0.913305,328.365,33.5967,0.889766,309.567,35.8566,0.908139,337.896,47.5852,0.901343,295.404,45.3715,0.917281,354.466,104.373,0.900309,274.279,104.394,0.931929,354.397,160.963,0.869473,276.657,161.067,0.863614,342.624,210.538,0.839622,309.568,210.471,0.88268,340.273,236.393,0.786854,290.644,236.402,0.816206,342.676,330.81,0.859996,276.601,330.768,0.889932,345.01,415.821,0.789996,274.141,411.072,0.876741
