Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,RAnkle_x,RAnkle_y,RAnkle_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,REye_x,REye_y,REye_c,LEye_x,LEye_y,LEye_c,REar_x,REar_y,REar_c,LEar_x,LEar_y,LEar_c,LBigToe_x,LBigToe_y,LBigToe_c,LSmallToe_x,LSmallToe_y,LSmallToe_c,LHeel_x,LHeel_y,LHeel_c,RBigToe_x,RBigToe_y,RBigToe_c,RSmallToe_x,RSmallToe_y,RSmallToe_c,RHeel_x,RHeel_y,RHeel_c
292.196,299.65,0.267748,209.063,292.157,0.718122,194.04,312.304,0.719566,194.084,445.499,0.784377,229.387,523.431,0.874345,216.689,272.009,0.509605,216.749,392.706,0.293064,226.706,463.121,0.115162,126.189,455.542,0.678824,106.107,458.068,0.663402,148.703,613.846,0.779444,141.29,792.411,0.741949,146.289,453.076,0.612986,178.969,576.305,0.731603,191.56,709.389,0.806808,292.189,287.115,0.306736,0.0,0.0,0.0,271.936,266.919,0.646793,0.0,0.0,0.0,259.449,719.545,0.7899,254.394,712.063,0.776718,178.998,729.504,0.763255,211.683,810.05,0.769565,191.64,815.072,0.762614,128.651,809.952,0.723844
292.151,304.65,0.288875,209.034,292.218,0.715014,191.533,312.271,0.748529,194.074,445.459,0.783982,231.689,523.434,0.861561,219.204,274.541,0.516773,221.766,392.723,0.376878,226.742,490.727,0.223792,126.18,453.071,0.688812,106.047,455.539,0.6655,148.844,608.933,0.781931,143.769,792.41,0.735572,146.323,453.007,0.624576,178.991,576.209,0.749691,191.54,696.953,0.80272,292.181,289.576,0.331415,0.0,0.0,0.0,269.584,269.389,0.649248,0.0,0.0,0.0,256.908,719.482,0.767634,251.998,711.989,0.76833,176.448,717.057,0.731019,211.754,812.44,0.765958,194.072,815.091,0.751325,128.685,809.951,0.714716
294.63,307.173,0.276769,209.061,292.211,0.73106,191.575,319.766,0.71758,194.175,450.427,0.806688,231.767,525.896,0.864413,219.219,269.51,0.527061,219.271,390.215,0.366121,229.149,490.723,0.266524,126.171,453.026,0.687567,103.573,453.099,0.66329,148.866,608.913,0.780951,143.786,792.366,0.737226,148.738,452.98,0.631272,178.996,573.822,0.763239,191.494,699.464,0.796234,292.216,292.06,0.291527,0.0,0.0,0.0,269.583,269.564,0.659821,0.0,0.0,0.0,259.432,714.618,0.796426,254.419,711.868,0.748994,176.462,719.551,0.760101,211.699,812.409,0.77038,191.623,815.065,0.773162,128.673,807.504,0.717182
297.202,307.125,0.25744,209.047,292.209,0.722129,191.596,314.822,0.724571,194.162,447.94,0.778619,231.791,523.454,0.868069,219.19,271.999,0.50976,219.221,392.715,0.317144,229.184,488.192,0.156612,126.183,453.071,0.683702,106.035,455.543,0.660926,148.872,611.309,0.777132,143.827,792.321,0.736691,146.336,453.002,0.622154,176.541,573.767,0.759062,191.475,694.493,0.799404,294.657,289.611,0.272411,0.0,0.0,0.0,269.559,269.45,0.58843,0.0,0.0,0.0,256.984,714.596,0.735802,254.403,709.478,0.687117,174.003,716.964,0.716854,211.698,810.063,0.760733,191.613,815.054,0.766901,128.682,807.482,0.702306
289.598,304.732,0.317047,206.691,292.239,0.717887,191.521,314.731,0.727285,196.555,442.961,0.756344,231.787,523.435,0.872196,219.225,274.51,0.518953,219.266,392.706,0.302882,229.214,490.715,0.168902,126.235,453.12,0.691318,106.044,455.594,0.66202,148.931,608.855,0.780065,146.233,792.321,0.752957,148.778,453.055,0.637908,176.491,573.766,0.771968,191.454,694.393,0.832314,289.639,289.695,0.343847,0.0,0.0,0.0,269.485,269.487,0.642811,0.0,0.0,0.0,254.475,714.471,0.783757,251.886,709.373,0.702506,173.982,714.431,0.764008,211.67,812.422,0.768607,191.588,815.062,0.773444,128.71,807.477,0.72414
289.664,307.203,0.303509,206.679,294.603,0.712502,191.536,314.789,0.720452,196.597,445.451,0.759304,231.795,523.449,0.873484,219.204,272.076,0.513522,219.246,392.676,0.287309,229.214,488.189,0.14259,126.224,453.125,0.689924,106.037,455.601,0.659803,148.927,608.843,0.778991,146.239,792.304,0.746218,148.766,453.055,0.639013,176.506,573.763,0.772767,191.454,694.39,0.83268,292.063,292.123,0.320345,0.0,0.0,0.0,269.559,269.556,0.636558,0.0,0.0,0.0,254.466,714.459,0.784742,251.873,706.986,0.701947,173.981,714.423,0.764553,211.653,812.412,0.7653,191.573,815.052,0.771926,128.703,807.455,0.70581
292.195,307.193,0.268655,209.078,292.159,0.728295,191.668,317.288,0.703196,194.158,440.447,0.754206,231.779,520.955,0.861105,216.758,269.457,0.510305,224.203,392.675,0.335512,229.273,490.766,0.243423,126.193,455.521,0.675392,106.052,458.043,0.656308,151.26,608.941,0.78297,146.253,792.365,0.750149,146.336,453.056,0.613782,174.003,576.192,0.757469,191.457,694.375,0.801076,292.154,292.065,0.274422,0.0,0.0,0.0,271.925,269.522,0.580065,0.0,0.0,0.0,261.981,711.895,0.694706,254.461,701.883,0.623522,176.467,714.427,0.635352,211.74,812.428,0.759783,191.653,815.079,0.75887,128.724,807.5,0.699973
292.098,307.244,0.234825,206.695,294.606,0.710219,191.481,312.322,0.735834,194.077,437.948,0.77493,231.764,520.913,0.857953,219.254,274.52,0.505802,224.258,392.69,0.42911,229.268,493.325,0.366006,126.218,453.125,0.691148,106.017,455.593,0.659563,151.242,608.921,0.786505,146.244,789.945,0.749379,148.778,453.057,0.641,174.013,573.78,0.775833,189.1,694.476,0.825465,292.186,292.106,0.237148,0.0,0.0,0.0,272.009,271.938,0.567752,0.0,0.0,0.0,254.464,709.504,0.735987,249.457,696.963,0.687967,174.0,714.571,0.763262,209.246,812.4,0.764511,191.507,815.05,0.782137,128.695,805.017,0.713354
292.18,309.628,0.16726,206.639,294.644,0.702443,191.501,314.766,0.731473,191.711,437.996,0.779291,231.779,520.879,0.859321,216.689,274.5,0.506283,221.769,395.195,0.42866,229.34,495.809,0.403459,128.603,455.524,0.696801,106.062,458.034,0.66291,151.258,611.354,0.793962,146.241,789.941,0.755052,148.806,453.068,0.64552,174.027,576.223,0.752267,189.08,696.883,0.823122,294.717,292.205,0.196217,0.0,0.0,0.0,272.045,274.501,0.618531,0.0,0.0,0.0,256.972,709.43,0.741728,251.892,696.906,0.719772,174.018,716.988,0.771908,209.21,810.062,0.768761,189.118,815.046,0.783584,128.701,804.998,0.714835
294.667,309.705,0.145272,206.596,297.125,0.687521,191.536,317.281,0.71431,194.171,442.982,0.758257,231.815,520.912,0.862547,214.217,274.525,0.503357,224.256,392.714,0.452376,231.689,493.215,0.440513,126.192,453.07,0.693074,106.009,455.541,0.662142,148.904,611.335,0.781241,146.24,792.311,0.75453,148.738,453.003,0.635726,173.972,573.798,0.773765,189.092,696.884,0.813774,299.674,294.616,0.176152,0.0,0.0,0.0,272.095,274.523,0.628122,0.0,0.0,0.0,254.411,704.423,0.775763,249.446,694.428,0.777824,176.461,717.067,0.767137,209.218,810.064,0.777283,189.127,815.052,0.790208,128.714,805.002,0.718609
